# NFL spread data
('2009-11-22T21:05:00.000000', u'LAR', u'ARI', -8.0)
('2009-11-22T21:15:00.000000', u'DEN', u'LAC', -29.0)
('2009-11-22T21:15:00.000000', u'NE', u'NYJ', 17.0)
('2009-11-22T21:15:00.000000', u'OAK', u'CIN', 3.0)
('2009-11-23T01:20:00.000000', u'CHI', u'PHI', -4.0)
('2009-11-24T01:30:00.000000', u'HOU', u'TEN', -3.0)
('2009-11-26T17:30:00.000000', u'DET', u'GB', -22.0)
('2009-11-26T21:15:00.000000', u'DAL', u'OAK', 17.0)
('2009-11-27T01:20:00.000000', u'DEN', u'NYG', 20.0)
('2009-11-29T18:00:00.000000', u'ATL', u'TB', 3.0)
('2009-11-29T18:00:00.000000', u'BUF', u'MIA', 17.0)
('2009-11-29T18:00:00.000000', u'CIN', u'CLE', 9.0)
('2009-11-29T18:00:00.000000', u'HOU', u'IND', -8.0)
('2009-11-29T18:00:00.000000', u'LAR', u'SEA', -10.0)
('2009-11-29T18:00:00.000000', u'NYJ', u'CAR', 11.0)
('2009-11-29T18:00:00.000000', u'PHI', u'WAS', 3.0)
('2009-11-29T21:05:00.000000', u'LAC', u'KC', 29.0)
('2009-11-29T21:05:00.000000', u'SF', u'JAC', 17.0)
('2009-11-29T21:15:00.000000', u'MIN', u'CHI', 26.0)
('2009-11-29T21:15:00.000000', u'TEN', u'ARI', 3.0)
('2009-11-30T01:20:00.000000', u'BAL', u'PIT', 3.0)
('2009-12-01T01:30:00.000000', u'NO', u'NE', 21.0)
('2009-12-04T01:20:00.000000', u'BUF', u'NYJ', -6.0)
('2009-12-06T18:00:00.000000', u'ATL', u'PHI', -27.0)
('2009-12-06T18:00:00.000000', u'CAR', u'TB', 10.0)
('2009-12-06T18:00:00.000000', u'CHI', u'LAR', 8.0)
('2009-12-06T18:00:00.000000', u'CIN', u'DET', 10.0)
('2009-12-06T18:00:00.000000', u'IND', u'TEN', 10.0)
('2009-12-06T18:00:00.000000', u'JAC', u'HOU', 5.0)
('2009-12-06T18:00:00.000000', u'KC', u'DEN', -31.0)
('2009-12-06T18:00:00.000000', u'MIA', u'NE', 1.0)
('2009-12-06T18:00:00.000000', u'PIT', u'OAK', -3.0)
('2009-12-06T18:00:00.000000', u'WAS', u'NO', -3.0)
('2009-12-06T21:05:00.000000', u'CLE', u'LAC', -7.0)
('2009-12-06T21:15:00.000000', u'NYG', u'DAL', 7.0)
('2009-12-06T21:15:00.000000', u'SEA', u'SF', 3.0)
('2009-12-07T01:20:00.000000', u'ARI', u'MIN', 13.0)
('2009-12-08T01:30:00.000000', u'GB', u'BAL', 13.0)
('2009-12-11T01:20:00.000000', u'CLE', u'PIT', 7.0)
('2009-12-13T18:00:00.000000', u'ATL', u'NO', -3.0)
('2009-12-13T18:00:00.000000', u'BAL', u'DET', 45.0)
('2009-12-13T18:00:00.000000', u'CHI', u'GB', -7.0)
('2009-12-13T18:00:00.000000', u'HOU', u'SEA', 27.0)
('2009-12-13T18:00:00.000000', u'IND', u'DEN', 12.0)
('2009-12-13T18:00:00.000000', u'JAC', u'MIA', -4.0)
('2009-12-13T18:00:00.000000', u'KC', u'BUF', -6.0)
('2009-12-13T18:00:00.000000', u'MIN', u'CIN', 20.0)
('2009-12-13T18:00:00.000000', u'NE', u'CAR', 10.0)
('2009-12-13T18:00:00.000000', u'TB', u'NYJ', -23.0)
('2009-12-13T21:05:00.000000', u'OAK', u'WAS', -21.0)
('2009-12-13T21:05:00.000000', u'TEN', u'LAR', 40.0)
('2009-12-13T21:15:00.000000', u'DAL', u'LAC', -3.0)
('2009-12-14T01:20:00.000000', u'NYG', u'PHI', -7.0)
('2009-12-15T01:30:00.000000', u'SF', u'ARI', 15.0)
('2009-12-18T01:20:00.000000', u'JAC', u'IND', -4.0)
('2009-12-20T01:20:00.000000', u'NO', u'DAL', -7.0)
('2009-12-20T18:00:00.000000', u'BUF', u'NE', -7.0)
('2009-12-20T18:00:00.000000', u'DET', u'ARI', -7.0)
('2009-12-20T18:00:00.000000', u'KC', u'CLE', -7.0)
('2009-12-20T18:00:00.000000', u'LAR', u'HOU', -3.0)
('2009-12-20T18:00:00.000000', u'NYJ', u'ATL', -3.0)
('2009-12-20T18:00:00.000000', u'TEN', u'MIA', 3.0)
('2009-12-20T21:05:00.000000', u'DEN', u'OAK', -1.0)
('2009-12-20T21:05:00.000000', u'LAC', u'CIN', 3.0)
('2009-12-20T21:15:00.000000', u'BAL', u'CHI', 24.0)
('2009-12-20T21:15:00.000000', u'PHI', u'SF', 14.0)
('2009-12-20T21:15:00.000000', u'PIT', u'GB', 1.0)
('2009-12-20T21:15:00.000000', u'SEA', u'TB', -17.0)
