# date, home, score, away, score
2010-11-07 BUF 19 CHI 22
2010-11-07 MIN 27 ARI 24
2010-11-07 ATL 27 TB  21
2010-11-07 CAR  3 NO  34
2010-11-07 SEA  7 NYG 41
2010-11-07 PHI 26 IND 24
2010-11-07 OAK 23 KC  20
2010-11-07 GB  45 DAL  7
2010-11-08 CIN 21 PIT 27
2010-11-11 ATL 26 BAL 21
2010-11-14 MIA 29 TEN 17
2010-11-14 CLE 20 NYJ 26
2010-11-14 IND 23 CIN 17
2010-11-14 JAC 31 HOU 24
2010-11-14 CHI 27 MIN 13
2010-11-14 TB  31 CAR 16
2010-11-14 BUF 14 DET 12
2010-11-14 DEN 49 KC  29
2010-11-14 NYG 20 DAL 33
2010-11-14 ARI 18 SEA 36
2010-11-14 SF  23 LAR 20
2010-11-14 PIT 26 NE  39
2010-11-15 WAS 28 PHI 59
2010-11-18 MIA  0 CHI 16
2010-11-21 CAR 13 BAL 37
2010-11-21 NYJ 30 HOU 27
2010-11-21 CIN 31 BUF 49
2010-11-21 PIT 35 OAK  3
2010-11-21 JAC 24 CLE 20
2010-11-21 DAL 35 DET 19
2010-11-21 MIN  3 GB  31
2010-11-21 TEN 16 WAS 19
2010-11-21 KC  31 ARI 13
2010-11-21 NO  34 SEA 19
2010-11-21 LAR 17 ATL 34
2010-11-21 SF   0 TB  21
2010-11-21 NE  31 IND 28
2010-11-21 PHI 27 NYG 17
2010-11-22 LAC 35 DEN 14
2010-11-25 DET 24 NE  45
2010-11-25 DAL 27 NO  30
2010-11-25 NYJ 26 CIN 10
2010-11-28 NYG 24 JAC 20
2010-11-28 BUF 16 PIT 19
2010-11-28 HOU 20 TEN  0
2010-11-28 WAS 13 MIN 17
2010-11-28 ATL 20 GB  17
2010-11-28 CLE 24 CAR 23
2010-11-28 SEA 24 KC  42
2010-11-28 OAK 17 MIA 33
2010-11-28 CHI 31 PHI 26
2010-11-28 BAL 17 TB  10
2010-11-28 DEN 33 LAR 36
2010-11-28 IND 14 LAC 36
2010-11-29 ARI  6 SF  27
2010-12-02 PHI 34 HOU 24
